compound_name,non_hydrogen_atom_count
ethanol,3
acetone,4
acetic acid,4
ethylamine,4
acetonitrile,4
furan,5
imidazole,5
urea,4
glyoxal,4
methyl acetate,5
benzene,6
pyridine,6
aniline,7
phenol,7
toluene,7
styrene,8
benzaldehyde,8
anisole,8
benzonitrile,8
thiophene,5
benzoic acid,9
ethyl benzoate,11
salicylaldehyde,10
catechol,8
resorcinol,8
hydroquinone,8
coumarin,10
quinoline,10
isoquinoline,10
indole,9
oxazole,5
isoxazole,5
thiazole,5
isothiazole,5
pyrimidine,6
pyrazine,6
pyridazine,6
piperidine,6
morpholine,7
piperazine,6
dimethyl sulfoxide,4
diethyl ether,5
ethyl acetate,6
propionic acid,5
butyric acid,6
succinic acid,8
maleic acid,8
fumaric acid,8
lactic acid,6
pyruvic acid,6
alanine,6
glycine,5
serine,7
valine,8
leucine,9
isoleucine,9
proline,8
histidine,9
uracil,8
cytosine,8
thymine,9
adenine,10
caffeine,14
nicotine,17
aspirin,13
acetaminophen,11
ibuprofen,15
vanillin,11
eugenol,12
isoeugenol,12
cinnamic acid,11
cinnamaldehyde,10
benzyl alcohol,8
2-phenylethanol,9
acetophenone,9
propiophenone,10
paracetamol,11
naproxen,15
saccharin,9
allantoin,8
biuret,6
barbituric acid,9
malonamide,7
oxamide,6
diethyl oxalate,10
dimethyl oxalate,8
methyl benzoate,10
ethyl salicylate,12
salicylic acid,10
nicotinamide,9
isonicotinamide,9
nicotinic acid,9
isonicotinic acid,9
furfural,7
furfuryl alcohol,8
tetrahydrofuran,5
"1,4-dioxane",6
N-methylimidazole,6
"2,6-lutidine",8
picoline,7
